"ID Orden","Fecha Creación","Fecha Cierre",Horas,Días
19,2024-12-17,2024-12-23,144,6
20,2024-12-15,2024-12-18,72,3
21,2024-12-14,2024-12-16,48,2
22,2024-12-13,2024-12-15,48,2
23,2024-12-12,2024-12-16,96,4
24,2024-12-11,2024-12-12,24,1
25,2024-12-10,2024-12-11,24,1
26,2024-12-09,2024-12-10,24,1
27,2024-12-08,2024-12-11,72,3
28,2024-12-07,2024-12-10,72,3
29,2024-12-06,2024-12-09,72,3
30,2024-12-05,2024-12-09,96,4
31,2024-12-04,2024-12-12,192,8
32,2024-12-03,2024-12-04,24,1
33,2024-12-02,2024-12-10,192,8
34,2024-12-01,2024-12-15,336,14
35,2024-11-30,2024-12-04,96,4
36,2024-11-29,2024-12-03,96,4
37,2024-11-28,2024-11-29,24,1
38,2024-11-27,2024-11-29,48,2
39,2024-11-26,2024-11-27,24,1
40,2024-11-25,2024-11-26,24,1
41,2024-11-24,2024-11-25,24,1
42,2024-11-23,2024-11-28,120,5
43,2024-11-22,2024-11-26,96,4
